name,amount,price,description
Wooden Mop Handle,47,99.41,Hyaena hyaena
Wild Boar - Tenderloin,37,6.14,Bos taurus
Herb Du Provence - Primerba,29,62.02,Ara macao
Garbag Bags - Black,23,53.61,Geochelone elephantopus
Pimento - Canned,69,65.46,Felis rufus
Wine - Sawmill Creek Autumn,17,23.76,Podargus strigoides
Red Currant Jelly,33,84.06,Xerus sp.
Bread - Sour Sticks With Onion,68,40.08,Ploceus rubiginosus
Bread - Onion Focaccia,3,26.34,Pseudalopex gymnocercus
Rice - 7 Grain Blend,22,93.75,Nasua nasua
Towel - Roll White,88,75.14,Francolinus coqui
Berry Brulee,78,57.41,Phalacrocorax niger
"Mushrooms - Black, Dried",43,1.9,Pteronura brasiliensis
Crackers - Graham,87,24.4,Bubo sp.
Molasses - Fancy,23,26.1,Fulica cristata
Liqueur - Melon,43,8.08,Kobus leche robertsi
Truffle Shells - Semi - Sweet,70,8.35,Eumetopias jubatus
Wine - Sauvignon Blanc,50,89.3,Psophia viridis
Sauce - Hollandaise,26,45.88,Phalaropus fulicarius
"Lemonade - Kiwi, 591 Ml",31,7.05,Oryx gazella
"Beef - Baby, Liver",46,97.86,Gymnorhina tibicen
Spring Roll Wrappers,49,74.36,Heloderma horridum
"Coke - Diet, 355 Ml",76,77.92,Uraeginthus granatina
Sobe - Liz Blizz,71,39.91,Diomedea irrorata
Waffle Stix,62,21.67,Helogale undulata
"Rum - Cream, Amarula",3,18.16,Butorides striatus
"Lemonade - Strawberry, 591 Ml",85,15.06,Epicrates cenchria maurus
Beer - Camerons Auburn,92,62.75,Cyrtodactylus louisiadensis
Paste - Black Olive,54,76.82,Sitta canadensis
Pie Pecan,35,71.04,Colaptes campestroides
Lettuce - Curly Endive,60,88.73,Felis wiedi or Leopardus weidi
Soup - Campbells Chicken,36,61.13,Chlidonias leucopterus
Ketchup - Tomato,6,36.07,Damaliscus lunatus
"Butter - Salted, Micro",94,29.76,Spheniscus magellanicus
Cherries - Fresh,94,99.25,Alcelaphus buselaphus caama
Cheese - Grana Padano,8,80.59,Hyaena brunnea
Horseradish - Prepared,44,86.53,Milvago chimachima
Wine - Hardys Bankside Shiraz,42,19.95,Alcelaphus buselaphus caama
Drambuie,82,22.95,Equus hemionus
"Basil - Dry, Rubbed",62,3.79,Eudromia elegans
Soy Protein,91,73.31,Sciurus vulgaris
Milk - Chocolate 500ml,19,24.16,Psittacula krameri
Bread - Bistro White,8,48.37,Merops nubicus
Caviar - Salmon,88,51.04,Dasyurus viverrinus
Squash - Guords,41,12.8,Crotalus adamanteus
"Orange - Canned, Mandarin",20,60.71,Alcelaphus buselaphus cokii
Lime Cordial - Roses,51,27.41,Sylvicapra grimma
Onions - Green,67,48.53,Mazama americana
Crackers - Melba Toast,41,15.51,Alligator mississippiensis
Wine - Remy Pannier Rose,44,59.94,Naja haje
Glycerine,12,48.05,Acanthaster planci
Tea - Camomele,80,10.7,Ovis orientalis
Chevril,10,70.06,Butorides striatus
Beef Dry Aged Tenderloin Aaa,31,52.2,Drymarchon corias couperi
Chinese Foods - Cantonese,17,30.91,Leipoa ocellata
Wine - Toasted Head,8,92.01,Bassariscus astutus
Meldea Green Tea Liquor,85,4.26,Papio ursinus
Table Cloth 81x81 White,7,12.5,Bubulcus ibis
"Rum - Light, Captain Morgan",53,71.05,Vulpes vulpes
Tomatillo,99,29.49,Ara macao
"Coconut - Shredded, Sweet",54,46.22,Mabuya spilogaster
Sobe - Tropical Energy,32,95.82,Potorous tridactylus
Bread - Mini Hamburger Bun,60,22.22,Pelecans onocratalus
"Veal - Inside Round / Top, Lean",88,3.69,Bucorvus leadbeateri
Lettuce - Lambs Mash,100,46.69,Tursiops truncatus
Soup - Campbells Mushroom,19,2.65,Rhea americana
Mustard - Pommery,72,41.58,Corvus brachyrhynchos
Icecream Cone - Areo Chocolate,43,74.82,Pseudoleistes virescens
Onions Granulated,66,77.23,Varanus sp.
Energy - Boo - Koo,27,89.46,Varanus salvator
Sugar Thermometer,8,16.54,Connochaetus taurinus
"Bread - Roll, Whole Wheat",44,27.13,Ceryle rudis
Wine - Redchard Merritt,66,39.7,Isoodon obesulus
Muffin - Carrot Individual Wrap,26,71.69,Rhea americana
Aspic - Light,38,77.17,Spizaetus coronatus
Tea - Vanilla Chai,87,18.68,Psittacula krameri
"Wine - Saint - Bris 2002, Sauv",91,11.39,Tachyglossus aculeatus
Mushroom - Lg - Cello,89,53.62,Zenaida asiatica
Straw - Regular,28,98.48,Limosa haemastica
Mustard - Seed,78,43.7,Otaria flavescens
Cookie - Oatmeal,100,19.95,Odocoilenaus virginianus
"Basil - Primerba, Paste",98,8.62,Ara ararauna
Pastry - Choclate Baked,76,49.82,Canis lupus
Foam Tray S2,32,81.85,Agama sp.
"Pasta - Lasagna Noodle, Frozen",27,62.57,Macropus parryi
Sauce - Soy Low Sodium - 3.87l,19,29.38,Porphyrio porphyrio
Pasta - Orecchiette,60,30.19,Nannopterum harrisi
Carbonated Water - Strawberry,68,65.42,Falco peregrinus
Tray - 12in Rnd Blk,53,3.99,Macropus rufogriseus
Ecolab - Lime - A - Way 4/4 L,68,10.04,Canis lupus lycaon
"Lobster - Baby, Boiled",16,74.74,Theropithecus gelada
Isomalt,12,71.43,Oreamnos americanus
"Pasta - Lasagna, Dry",5,74.17,Branta canadensis
"Veal - Brisket, Provimi,bnls",5,80.25,Madoqua kirkii
"Sauce - Gravy, Au Jus, Mix",25,17.49,Canis lupus
"Nut - Pecan, Halves",66,39.11,Cervus elaphus
Soup Campbells,81,13.11,Crotalus triseriatus
Tart - Raisin And Pecan,26,56.2,Cyrtodactylus louisiadensis
Wine - Puligny Montrachet A.,95,18.27,Mazama americana
Cake Sheet Combo Party Pack,29,94.48,Canis aureus
Ecolab - Hand Soap Form Antibac,83,28.54,Chlamydosaurus kingii
"Dill - Primerba, Paste",74,47.71,Gyps bengalensis
Wine - Clavet Saint Emilion,48,37.72,Phalacrocorax brasilianus
Wine - Barossa Valley Estate,57,30.75,Ursus americanus
Clam Nectar,94,62.92,Lamprotornis superbus
Cheese - Ermite Bleu,77,61.33,Thalasseus maximus
Chips Potato All Dressed - 43g,17,54.64,Merops nubicus
Towel - Roll White,15,40.95,Papio ursinus
"Juice - Apple, 1.36l",62,91.18,Propithecus verreauxi
"Wine - Magnotta, Merlot Sr Vqa",97,51.04,Chlamydosaurus kingii
Blueberries - Frozen,89,10.02,Carduelis pinus
Cheese - Victor Et Berthold,44,25.34,Tamiasciurus hudsonicus
Shiratamako - Rice Flour,66,53.06,Sarkidornis melanotos
"Trout - Rainbow, Frozen",86,98.67,Odocoileus hemionus
Wine - Sauvignon Blanc Oyster,73,40.7,Aegypius tracheliotus
Tamarind Paste,35,82.43,Leptoptilos crumeniferus
Hersey Shakes,39,31.3,Phalacrocorax varius
Cheese - St. Paulin,52,58.59,Alopex lagopus
Bagelers - Cinn / Brown,4,9.32,Canis lupus baileyi
Lettuce - Lolla Rosa,88,61.38,Colaptes campestroides
"Juice - Cranberry, 341 Ml",97,77.25,Echimys chrysurus
"Salmon - Atlantic, Fresh, Whole",40,8.36,Limnocorax flavirostra
Dome Lid Clear P92008h,30,28.69,Perameles nasuta
Bacardi Breezer - Tropical,93,38.09,Otaria flavescens
Greens Mustard,100,26.05,Actophilornis africanus
"Shrimp - Baby, Warm Water",68,10.42,Canis lupus baileyi
Stainless Steel Cleaner Vision,33,70.21,Chionis alba
Lettuce - California Mix,82,33.53,Salvadora hexalepis
Wine - Beaujolais Villages,10,27.67,Crotalus triseriatus
Pasta - Canelloni,75,37.03,Trachyphonus vaillantii
Sage Ground Wiberg,34,39.24,Zonotrichia capensis
V8 Pet,31,21.34,Francolinus coqui
Cheese - Camembert,2,93.28,Crotalus cerastes
Cake - Miini Cheesecake Cherry,34,72.51,Ceratotherium simum
"Soup - Beef, Base Mix",34,47.64,Martes americana
Flour - Fast / Rapid,48,18.12,Felis concolor
Veal - Provimi Inside,70,70.76,Cebus nigrivittatus
Ecolab - Lime - A - Way 4/4 L,54,47.91,Aonyx capensis
Soup - Campbells,74,20.48,Haematopus ater
Wine - Pinot Noir Stoneleigh,33,38.41,Callipepla gambelii
Lettuce - Romaine,81,27.01,Colobus guerza
Scrubbie - Scotchbrite Hand Pad,5,15.56,Paroaria gularis
Oven Mitts - 15 Inch,88,80.3,Pavo cristatus
Table Cloth 54x72 Colour,97,71.72,Pavo cristatus
Allspice - Jamaican,53,91.41,Choloepus hoffmani
Spinach - Spinach Leaf,28,30.25,Hymenolaimus malacorhynchus
Wine - Pinot Noir Stoneleigh,54,12.28,Pteronura brasiliensis
Chinese Foods - Thick Noodles,85,12.49,Macropus parryi
Calypso - Strawberry Lemonade,63,45.71,Semnopithecus entellus
Pork - Bacon Cooked Slcd,7,89.01,unavailable
Oil - Hazelnut,80,3.09,Vulpes chama
Sprouts - Pea,65,63.29,Rhea americana
Cinnamon Rolls,42,19.53,Chelodina longicollis
Cilantro / Coriander - Fresh,13,71.98,Eubalaena australis
Muskox - French Rack,19,41.77,Anser anser
Wine - Blue Nun Qualitatswein,81,43.73,Cacatua tenuirostris
Filo Dough,80,97.7,Procyon cancrivorus
Cheese - Stilton,62,36.49,Physignathus cocincinus
Jicama,35,82.37,Tiliqua scincoides
Cumin - Whole,58,75.79,Ceratotherium simum
Curry Paste - Green Masala,24,17.11,Sciurus vulgaris
Apple - Granny Smith,81,17.12,Didelphis virginiana
Hog / Sausage Casing - Pork,32,1.47,Spermophilus lateralis
Compound - Passion Fruit,63,16.66,Geococcyx californianus
Hinge W Undercut,79,67.5,Anitibyx armatus
"Pasta - Penne, Lisce, Dry",50,76.77,Oxybelis fulgidus
Skirt - 29 Foot,21,80.04,Marmota caligata
Beer - Sleemans Cream Ale,69,11.82,Merops bullockoides
Guinea Fowl,92,65.27,Gabianus pacificus
"Mushroom - Trumpet, Dry",16,34.94,Pseudocheirus peregrinus
"Yogurt - Banana, 175 Gr",58,30.86,Myotis lucifugus
Pears - Anjou,23,21.9,Aegypius tracheliotus
Flavouring - Rum,14,74.84,Ictonyx striatus
Veal - Inside,90,44.2,Globicephala melas
Anchovy In Oil,42,88.8,Podargus strigoides
Amaretto,56,33.26,Phalaropus lobatus
Beans - Fine,50,54.11,Aonyx capensis
Lotus Root,23,68.32,Anastomus oscitans
Bag - Regular Kraft 20 Lb,91,37.65,Priodontes maximus
"Chilli Paste, Hot Sambal Oelek",65,37.23,Varanus sp.
Cocoa Butter,75,74.97,Bucorvus leadbeateri
"Sauce - Gravy, Au Jus, Mix",20,8.98,Macropus agilis
Cheese - Parmesan Grated,16,26.92,Taurotagus oryx
Pasta - Fusili Tri - Coloured,15,43.71,Antidorcas marsupialis
"Beef - Baby, Liver",65,59.59,Podargus strigoides
Puff Pastry - Sheets,30,69.52,Phasianus colchicus
"Juice - Pineapple, 341 Ml",67,17.12,Lama pacos
"Zucchini - Mini, Green",91,7.18,Alcelaphus buselaphus cokii
Muffin Mix - Lemon Cranberry,21,49.49,Oncorhynchus nerka
"Beets - Candy Cane, Organic",20,32.4,Dolichitus patagonum
Beef - Top Butt Aaa,43,51.32,Bubalus arnee
"Wine - White, Riesling, Semi - Dry",12,61.42,Phoenicopterus ruber
"Wine - White, Lindemans Bin 95",61,20.62,Felis libyca
Chivas Regal - 12 Year Old,77,6.61,Ciconia episcopus
Chives - Fresh,5,93.73,Lama glama
Sauce Bbq Smokey,13,23.54,Kobus vardonii vardoni
Cheese - Colby,33,57.1,Tachyglossus aculeatus
Tea - English Breakfast,21,75.33,Stercorarius longicausus
Wine - Muscadet Sur Lie,88,75.63,Streptopelia decipiens
"Bread - Roll, Italian",30,4.68,Colaptes campestroides
Fond - Chocolate,47,9.22,Phasianus colchicus
Pears - Fiorelle,61,3.35,Sciurus vulgaris
Carbonated Water - Orange,38,89.56,Ardea cinerea
"Chicken - Wings, Tip Off",5,6.87,Cervus elaphus
Rice - 7 Grain Blend,77,94.54,Eudyptula minor
Grenadillo,82,64.0,unavailable
Juice - Ocean Spray Cranberry,96,16.11,Pavo cristatus
Mushrooms - Honey,68,30.09,Marmota flaviventris
Cake - French Pear Tart,62,65.63,Ursus maritimus
Paper Towel Touchless,38,33.52,Panthera leo persica
Corn - On The Cob,19,18.62,Phascogale calura
"Rosemary - Primerba, Paste",56,53.43,Pavo cristatus
Lamb Tenderloin Nz Fr,38,41.15,Varanus sp.
Clams - Canned,91,93.55,Mustela nigripes
Asparagus - Mexican,62,38.43,Lasiodora parahybana
Beer - Camerons Cream Ale,75,96.5,Phalacrocorax niger
Glass Clear 7 Oz Xl,35,91.47,Coracias caudata
Chicken - Ground,93,77.46,Morelia spilotes variegata
Cake - Pancake,30,82.98,Ursus americanus
"Noodles - Cellophane, Thin",53,58.98,Dipodomys deserti
Chivas Regal - 12 Year Old,31,8.35,Grus rubicundus
"Asparagus - White, Canned",24,19.94,Cyrtodactylus louisiadensis
Cabbage Roll,87,75.14,Thalasseus maximus
"Lamb - Leg, Bone In",13,74.49,Trichosurus vulpecula
Ginsing - Fresh,48,46.12,Plegadis falcinellus
Energy Drink - Redbull 355ml,71,60.17,Lycaon pictus
Milk - Homo,1,5.03,Gabianus pacificus
Crackers Cheez It,66,32.19,Choloepus hoffmani
Napkin White,21,8.37,Climacteris melanura
Wine - Piper Heidsieck Brut,25,56.66,Ephipplorhynchus senegalensis
"Lemonade - Kiwi, 591 Ml",80,76.3,Francolinus coqui
"Melon - Watermelon, Seedless",77,64.43,Gabianus pacificus
Magnotta - Bel Paese White,94,73.14,Mycteria ibis
Coffee Beans - Chocolate,50,93.28,Neophoca cinerea
Chives - Fresh,12,23.67,Libellula quadrimaculata
"Turkey - Breast, Bone - In",95,68.97,Microcebus murinus
Syrup - Chocolate,42,74.3,Cygnus atratus
"Bread - Bagels, Plain",77,58.53,Plocepasser mahali
Lettuce - Boston Bib,29,58.3,Madoqua kirkii
Rolled Oats,91,86.48,Buteo jamaicensis
External Supplier,35,90.67,Paradoxurus hermaphroditus
Rhubarb,30,86.94,Choloepus hoffmani
"Mushroom - Enoki, Fresh",57,33.64,Ursus arctos
Wine - Acient Coast Caberne,19,87.4,Grus canadensis
Container Clear 8 Oz,33,64.74,Buteo regalis
Puree - Mocha,59,20.9,Geochelone elegans
Cheese - Bakers Cream Cheese,100,77.17,Ephippiorhynchus mycteria
Wine - Ruffino Chianti,73,42.65,Rhea americana
Soup - Campbells Beef Noodle,36,35.94,Picoides pubescens
Towel - Roll White,45,93.34,Melanerpes erythrocephalus
Cookie - Dough Variety,56,25.5,Vulpes chama
Cake - Lemon Chiffon,80,9.31,Cacatua tenuirostris
Tomatoes Tear Drop Yellow,71,12.71,Vulpes vulpes
Butter - Salted,100,75.2,Nyctereutes procyonoides
Milk Powder,18,27.55,Crotalus cerastes
Bread Crumbs - Panko,70,54.28,Spheniscus mendiculus
Shrimp - Black Tiger 8 - 12,22,22.6,Leprocaulinus vipera
Eggs - Extra Large,70,22.4,Dendrocygna viduata
Puree - Raspberry,3,7.02,Tockus erythrorhyncus
Salt - Celery,95,31.14,Genetta genetta
Compound - Strawberry,41,52.26,Eudyptula minor
Crawfish,87,26.81,Phylurus milli
"Pork - Butt, Boneless",37,13.46,Haliaeetus leucoryphus
Curry Powder Madras,26,87.42,Macaca mulatta
Chips Potato Swt Chilli Sour,71,64.53,Meleagris gallopavo
Hog / Sausage Casing - Pork,34,11.7,Heloderma horridum
Clam - Cherrystone,20,4.09,Epicrates cenchria maurus
Table Cloth 91x91 Colour,88,87.72,Hystrix cristata
Chocolate - Milk Coating,93,25.38,Chauna torquata
Bread - Pumpernickel,20,70.65,unavailable
Raspberries - Frozen,66,27.33,unavailable
Wine - Charddonnay Errazuriz,45,89.41,Tiliqua scincoides
Eggplant - Asian,17,49.56,Anas bahamensis
Food Colouring - Pink,50,84.22,Suricata suricatta
Versatainer Nc - 8288,58,40.27,Canis aureus
Nantucket - Pomegranate Pear,90,94.03,Isoodon obesulus
Wine - Chablis 2003 Champs,85,46.75,Chelodina longicollis
Cake - Mini Potato Pancake,20,39.13,Canis aureus
Squash - Pepper,5,24.46,Aegypius occipitalis
Crackers - Melba Toast,48,92.79,Martes americana
Muffin - Mix - Bran And Maple 15l,68,21.65,Hippotragus equinus
Pickle - Dill,54,73.85,Pteronura brasiliensis
Bagel - Whole White Sesame,90,33.0,Cervus canadensis
"Salmon - Whole, 4 - 6 Pounds",34,8.59,Mazama gouazoubira
"Doilies - 10, Paper",4,43.65,Sylvilagus floridanus
"Split Peas - Green, Dry",54,36.69,Anas punctata
Longos - Grilled Salmon With Bbq,99,67.82,Felis silvestris lybica
"Beef - Rouladin, Sliced",21,12.31,Dacelo novaeguineae
"Iced Tea - Lemon, 460 Ml",96,28.48,Neophron percnopterus
"Syrup - Monin, Irish Cream",81,43.45,Macropus agilis
Pastry - Cheese Baked Scones,36,3.55,Streptopelia senegalensis
Gelatine Powder,33,51.57,Alectura lathami
Sausage - Blood Pudding,39,48.76,Corythornis cristata
"Seedlings - Mix, Organic",44,1.4,Bucephala clangula
"Cheese - Brie, Triple Creme",10,87.48,Psophia viridis
Ecolab - Mikroklene 4/4 L,96,97.74,Macaca mulatta
Juice Peach Nectar,71,95.19,Phasianus colchicus
Beef Flat Iron Steak,20,93.92,Hippotragus niger
Chocolate Bar - Oh Henry,57,81.34,Gabianus pacificus
Cheese - Camembert,45,31.45,Zenaida asiatica
Cod - Black Whole Fillet,92,75.48,Streptopelia senegalensis
Fruit Salad Deluxe,94,8.24,Varanus salvator
Chef Hat 20cm,66,64.36,Laniaurius atrococcineus
Tuna - Bluefin,8,8.2,Dendrocygna viduata
Five Alive Citrus,99,92.67,Junonia genoveua
Rye Special Old,26,76.0,Pycnonotus nigricans
Pepper - Gypsy Pepper,91,21.88,Phalaropus lobatus
Mayonnaise,66,96.63,Libellula quadrimaculata
Soup - Base Broth Chix,42,68.24,Kobus leche robertsi
Wine - Tio Pepe Sherry Fino,59,40.17,unavailable
Soupcontfoam16oz 116con,34,61.31,Pycnonotus nigricans
Pike - Frozen Fillet,88,97.99,Bradypus tridactylus
"Shrimp - Baby, Warm Water",36,11.03,Bos frontalis
Clam - Cherrystone,31,38.26,Felis silvestris lybica
Long Island Ice Tea,100,79.65,Lepilemur rufescens
"Soup - Beef Conomme, Dry",46,92.05,Manouria emys
"Basil - Primerba, Paste",23,80.66,Gekko gecko
Icecream Bar - Del Monte,74,82.07,Cygnus atratus
Wine - White Cab Sauv.on,22,81.17,Acrobates pygmaeus
Sobe - Cranberry Grapefruit,13,36.71,Myrmecophaga tridactyla
Pork - Sausage Casing,38,81.37,Callipepla gambelii
"Lemonade - Island Tea, 591 Ml",65,46.33,Leipoa ocellata
Wine - Two Oceans Sauvignon,66,91.89,Zenaida asiatica
Cookie Dough - Chunky,46,7.71,Francolinus coqui
Wine - Blue Nun Qualitatswein,31,67.28,Pseudalopex gymnocercus
Oil - Macadamia,80,65.18,Marmota caligata
Cranberries - Frozen,2,47.89,Balearica pavonina
Shrimp - Black Tiger 26/30,94,43.47,Melanerpes erythrocephalus
Green Tea Refresher,6,41.11,Oryx gazella
Oil - Safflower,10,74.07,Phascogale calura
Vol Au Vents,33,51.75,Zenaida asiatica
Monkfish - Fresh,14,65.34,Platalea leucordia
Cheese - Grie Des Champ,5,97.35,Kobus leche robertsi
Carrots - Jumbo,58,47.31,Lorythaixoides concolor
Beef - Cow Feet Split,35,14.54,Theropithecus gelada
Halibut - Fletches,78,14.59,Thamnolaea cinnmomeiventris
Initation Crab Meat,98,6.05,Tursiops truncatus
Sugar - Individual Portions,98,68.34,Canis mesomelas
Buffalo - Tenderloin,75,65.83,Macaca fuscata
Pie Box - Cello Window 2.5,20,95.52,Columba livia
Dr. Pepper - 355ml,5,13.27,Boa caninus
Flour - Chickpea,82,86.18,Mazama gouazoubira
Beer - Fruli,43,34.52,Bassariscus astutus
Cheese - Grana Padano,89,35.91,Rhabdomys pumilio
Wakami Seaweed,100,2.82,Geochelone radiata
Sausage - Breakfast,37,59.44,Plegadis falcinellus
Shortbread - Cookie Crumbs,25,22.46,Passer domesticus
Kaffir Lime Leaves,58,64.57,Uraeginthus granatina
"Tabasco Sauce, 2 Oz",10,87.67,Spheniscus magellanicus
"Artichoke - Bottom, Canned",18,79.26,Gyps bengalensis
Allspice - Jamaican,96,15.43,Hippotragus equinus
Water - Tonic,89,11.58,Speothos vanaticus
Spring Roll Veg Mini,77,7.64,Ovis ammon
Extract - Raspberry,60,19.26,Oreamnos americanus
Longan,44,37.22,Chauna torquata
Ecolab - Hobart Washarm End Cap,28,36.21,Tragelaphus scriptus
Higashimaru Usukuchi Soy,77,36.5,Cathartes aura
Wine - Guy Sage Touraine,72,70.0,Pelecans onocratalus
Lettuce - Green Leaf,96,75.16,unavailable
"Leeks - Baby, White",29,34.99,Ardea golieth
Wine - Fat Bastard Merlot,22,29.71,Coluber constrictor
Tea - Decaf Lipton,31,92.64,Ciconia episcopus
Couscous,27,91.7,Myrmecobius fasciatus
Pork - Belly Fresh,2,83.05,Ursus maritimus
Gatorade - Xfactor Berry,46,77.28,Semnopithecus entellus
Wine - Bouchard La Vignee Pinot,2,76.28,Chauna torquata
Bacon Strip Precooked,97,54.72,unavailable
"Mushroom - Oyster, Fresh",67,47.97,Tyto novaehollandiae
Sage - Ground,89,51.99,Fulica cristata
Flour - Semolina,18,38.26,Lepus arcticus
Eggplant Oriental,5,96.61,Ceryle rudis
Nougat - Paste / Cream,8,36.58,Martes pennanti
Dried Figs,96,32.39,Larus dominicanus
Tumeric,36,77.84,Lamprotornis nitens
"Butter - Salted, Micro",14,69.61,Callorhinus ursinus
Lamb - Whole Head Off,85,59.35,Paraxerus cepapi
Laundry - Bag Cloth,15,46.07,Phalacrocorax varius
Spice - Paprika,48,13.23,Haliaeetus leucocephalus
"Appetizer - Spring Roll, Veg",43,16.21,unavailable
Lettuce - Sea / Sea Asparagus,79,51.95,Cracticus nigroagularis
Oil - Macadamia,69,12.35,Vulpes vulpes
"Bag - Bread, White, Plain",62,89.07,Halcyon smyrnesis
Chicken - Leg / Back Attach,79,80.11,Cebus nigrivittatus
Canada Dry,46,92.29,Lycosa godeffroyi
Wine - Chateau Bonnet,15,47.76,Ammospermophilus nelsoni
"Beans - Black Bean, Preserved",64,32.75,Hystrix cristata
Wine - German Riesling,91,85.25,Felis concolor
Wine - Prosecco Valdobiaddene,37,55.26,Aonyx capensis
Stainless Steel Cleaner Vision,79,68.96,Haematopus ater
Dish Towel,65,46.28,Felis silvestris lybica
Ice Cream - Strawberry,60,30.49,Chauna torquata
"Pork - Bacon,back Peameal",67,65.88,Phasianus colchicus
Veal - Heart,6,35.8,Merops sp.
Butter - Unsalted,14,63.12,Lemur fulvus
Veal - Sweetbread,27,54.09,Ninox superciliaris
"Beans - Black Bean, Canned",92,44.08,Ammospermophilus nelsoni
Extract Vanilla Pure,41,22.96,Porphyrio porphyrio
Lamb - Ground,65,84.56,Canis aureus
Shichimi Togarashi Peppeers,14,20.37,Bucorvus leadbeateri
"Capon - Breast, Wing On",86,57.07,Corvus brachyrhynchos
Beans - Wax,4,26.77,Plegadis falcinellus
Mustard - Individual Pkg,26,2.36,Ephippiorhynchus mycteria
Food Colouring - Red,80,62.61,Elephas maximus bengalensis
Wine - Manischewitz Concord,70,2.37,Axis axis
Foie Gras,93,93.88,Myiarchus tuberculifer
Oil - Avocado,67,70.64,Corvus albicollis
Bread - Frozen Basket Variety,30,9.74,Coendou prehensilis
Cheese - Colby,69,39.37,Sceloporus magister
Beef - Flank Steak,38,11.92,Spermophilus lateralis
Broom Handle,44,73.27,Castor fiber
Hipnotiq Liquor,58,72.83,Phasianus colchicus
Mini - Vol Au Vents,8,67.46,Dasyurus viverrinus
Shrimp - 150 - 250,76,66.47,Priodontes maximus
Syrup - Monin - Granny Smith,18,72.14,Vombatus ursinus
"Red Snapper - Fillet, Skin On",41,90.41,Grus rubicundus
Table Cloth 54x54 White,51,81.71,Buteo galapagoensis
Bowl 12 Oz - Showcase 92012,60,60.63,Butorides striatus
Coffee Beans - Chocolate,25,66.27,Ictonyx striatus
Sour Puss Raspberry,73,44.48,Streptopelia senegalensis
Cheese - Cambozola,48,66.62,Tayassu pecari
Oneshot Automatic Soap System,37,8.26,Haematopus ater
"Chocolate - Semi Sweet, Calets",87,36.01,Semnopithecus entellus
Cheese - Valancey,17,52.91,Delphinus delphis
"Soup - Campbells, Chix Gumbo",85,53.03,Naja haje
Wine - Prosecco Valdobienne,31,45.32,Castor fiber
Cookies - Englishbay Oatmeal,86,74.27,Lutra canadensis
Skewers - Bamboo,1,98.09,Eumetopias jubatus
Mcguinness - Blue Curacao,92,55.69,Orcinus orca
Wine - Sicilia Igt Nero Avola,74,56.67,Alopex lagopus
Wine - Cotes Du Rhone,74,89.6,Myrmecophaga tridactyla
Bread - Ciabatta Buns,45,6.03,Fratercula corniculata
Monkfish Fresh - Skin Off,79,90.5,Phasianus colchicus
Campari,24,33.23,Phalacrocorax niger
Chocolate - Feathers,66,8.57,Hystrix cristata
Pate - Cognac,85,8.16,Alligator mississippiensis
Sausage - Liver,28,67.45,Sagittarius serpentarius
Tomatoes - Yellow Hot House,41,88.85,Eolophus roseicapillus
Cranberries - Dry,58,83.73,Irania gutteralis
Sterno - Chafing Dish Fuel,14,80.32,Camelus dromedarius
"Coffee - Colombian, Portioned",31,42.4,Zenaida asiatica
